source_file,year,election_type,prm_party,juris,state,office,dist,election_id
Berkeley_20141104_CityCouncilDistrict7.tab,2014,general,NA,Berkeley,CA,City Council,7,CA_2014_G_Berkeley_07_Council
Berkeley_20141104_CityCouncilDistrict8.tab,2014,general,NA,Berkeley,CA,City Council,8,CA_2014_G_Berkeley_08_Council
Berkeley_20161108_CityCouncilDistrict2.tab,2016,general,NA,Berkeley,CA,City Council,2,CA_2016_G_Berkeley_02_Council
Berkeley_20161108_CityCouncilDistrict3.tab,2016,general,NA,Berkeley,CA,City Council,3,CA_2016_G_Berkeley_03_Council
Berkeley_20161108_CityCouncilDistrict5.tab,2016,general,NA,Berkeley,CA,City Council,5,CA_2016_G_Berkeley_05_Council
Berkeley_20161108_CityCouncilDistrict6.tab,2016,general,NA,Berkeley,CA,City Council,6,CA_2016_G_Berkeley_06_Council
Berkeley_20161108_Mayor.tab,2016,general,NA,Berkeley,CA,Mayor,At_Large,CA_2016_G_Berkeley_At_Large_Mayor
Berkeley_20170307_CityCouncilDistrict4.tab,2017,general,NA,Berkeley,CA,City Council,4,CA_2017_G_Berkeley_04_Council
Berkeley_20181106_CityAuditor.tab,2018,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2018_G_Berkeley_At_Large_CityAuditor
Berkeley_20181106_CityCouncilDistrict1.tab,2018,general,NA,Berkeley,CA,City Council,1,CA_2018_G_Berkeley_01_Council
Berkeley_20181106_CityCouncilDistrict4.tab,2018,general,NA,Berkeley,CA,City Council,4,CA_2018_G_Berkeley_04_Council
Berkeley_20181106_CityCouncilDistrict7.tab,2018,general,NA,Berkeley,CA,City Council,7,CA_2018_G_Berkeley_07_Council
Berkeley_20181106_CityCouncilDistrict8.tab,2018,general,NA,Berkeley,CA,City Council,8,CA_2018_G_Berkeley_08_Council
Berkeley_20201103_CityCouncilD2.tab,2020,general,NA,Berkeley,CA,City Council,2,CA_2020_G_Berkeley_02_Council
Berkeley_20201103_CityCouncilD3.tab,2020,general,NA,Berkeley,CA,City Council,3,CA_2020_G_Berkeley_03_Council
Berkeley_20201103_CityCouncilD5.tab,2020,general,NA,Berkeley,CA,City Council,5,CA_2020_G_Berkeley_05_Council
Berkeley_20201103_CityCouncilD6.tab,2020,general,NA,Berkeley,CA,City Council,6,CA_2020_G_Berkeley_06_Council
Berkeley_20201103_Mayor.tab,2020,general,NA,Berkeley,CA,Mayor,At_Large,CA_2020_G_Berkeley_At_Large_Mayor
Berkeley_20240528_CityCouncilDistrict4_Special.tab,2024,special,NA,Berkeley,CA,City Council,At_Large,CA_2024_S_Berkeley_At_Large_Council
Berkeley_20241105_CityCouncilD2.tab,2024,general,NA,Berkeley,CA,City Council,2,CA_2024_G_Berkeley_02_Council
Berkeley_20241105_CityCouncilD3.tab,2024,general,NA,Berkeley,CA,City Council,3,CA_2024_G_Berkeley_03_Council
Berkeley_20241105_CityCouncilD5.tab,2024,general,NA,Berkeley,CA,City Council,5,CA_2024_G_Berkeley_05_Council
Berkeley_20241105_CityCouncilD6.tab,2024,general,NA,Berkeley,CA,City Council,6,CA_2024_G_Berkeley_06_Council
Berkeley_20241105_Mayor.tab,2024,general,NA,Berkeley,CA,Mayor,At_Large,CA_2024_G_Berkeley_At_Large_Mayor
Bloomington_20231107_CityCouncilAL.tab,2023,general,NA,Bloomington,MN,City Council,At_Large,MN_2023_G_Bloomington_At_Large_Council
Bloomington_20231107_CityCouncilD4.tab,2023,general,NA,Bloomington,MN,City Council,4,MN_2023_G_Bloomington_04_Council
Boulder_20231107_Mayor.tab,2023,general,NA,Boulder,CO,Mayor,At_Large,CO_2023_G_Boulder_At_Large_Mayor
Burlington_20060307_Mayor.tab,2006,general,NA,Burlington,VT,Mayor,At_Large,VT_2006_G_Burlington_At_Large_Mayor
Burlington_20090303_Mayor.tab,2009,general,NA,Burlington,VT,Mayor,At_Large,VT_2009_G_Burlington_At_Large_Mayor
Burlington_20230307_CityCouncilCentralDistrict.tab,2023,general,NA,Burlington,VT,City Council,Central,VT_2023_G_Burlington_Central_Council
Burlington_20230307_CityCouncilEastDistrict.tab,2023,general,NA,Burlington,VT,City Council,East,VT_2023_G_Burlington_East_Council
Burlington_20230307_CityCouncilNorthDistrict.tab,2023,general,NA,Burlington,VT,City Council,North,VT_2023_G_Burlington_North_Council
Burlington_20230307_CityCouncilSouthDistrict.tab,2023,general,NA,Burlington,VT,City Council,South,VT_2023_G_Burlington_South_Council
Burlington_20230307_CityCouncilWard8.tab,2023,general,NA,Burlington,VT,City Council,8,VT_2023_G_Burlington_08_Council
Burlington_20240305_Mayor.tab,2024,general,NA,Burlington,VT,Mayor,At_Large,VT_2024_G_Burlington_At_Large_Mayor
Corvallis_20221108_CityCouncilWard9.tab,2022,general,NA,Corvallis,OR,City Council,9,OR_2022_G_Corvallis_09_Council
Corvallis_20221108_Mayor.tab,2022,general,NA,Corvallis,OR,Mayor,At_Large,OR_2022_G_Corvallis_At_Large_Mayor
Easthampton_20211102_Mayor.tab,2021,general,NA,Easthampton,MA,Mayor,At_Large,MA_2021_G_Easthampton_At_Large_Mayor
Eastpointe_20201103_CityCouncil.tab,2020,general,NA,Eastpointe,MI,City Council,At_Large,MI_2020_G_Eastpointe_At_Large_Council
ElkRidge_20211102_Mayor.tab,2021,general,NA,Elk Ridge,UT,Mayor,At_Large,UT_2021_G_Elk_Ridge_At_Large_Mayor
LasCruces_20191105_CityCouncilDistrict2.tab,2019,general,NA,Donaana,NM,City Council,2,NM_2019_G_Donaana_02_Council
LasCruces_20191105_CityCouncilDistrict4.tab,2019,general,NA,Donaana,NM,City Council,4,NM_2019_G_Donaana_04_Council
LasCruces_20191105_Mayor.tab,2019,general,NA,Donaana,NM,Mayor,At_Large,NM_2019_G_Donaana_At_Large_Mayor
Maine_20180612_CD2_DemNominee.tab,2018,primary,DEM,Maine,ME,U.S. House,2,ME_2018_P_Maine_02_US_Representative_DEM
Maine_20180612_Governor_DemNominee.tab,2018,primary,DEM,Maine,ME,Governor,At_Large,ME_2018_P_Maine_At_Large_Governor_DEM
Maine_20181106_CongressionalDistrict2.tab,2018,general,NA,Maine,ME,U.S. House,2,ME_2018_G_Maine_02_US_Representative
Maine_20200714_CD2_RepNominee.tab,2020,primary,REP,Maine,ME,U.S. House,2,ME_2020_P_Maine_02_US_Representative_REP
Maine_20200714_StateHouseDistrict41_DemNominee.tab,2020,primary,DEM,Maine,ME,State House,41,ME_2020_P_Maine_41_State_House_DEM
Maine_20200714_StateHouseDistrict47_DemNominee.tab,2020,primary,DEM,Maine,ME,State House,47,ME_2020_P_Maine_47_State_House_DEM
Maine_20200714_StateHouseDistrict49_DemNominee.tab,2020,primary,DEM,Maine,ME,State House,49,ME_2020_P_Maine_49_State_House_DEM
Maine_20200714_StateHouseDistrict90_DemNominee.tab,2020,primary,DEM,Maine,ME,State House,90,ME_2020_P_Maine_90_State_House_DEM
Maine_20200714_StateSenateDistrict11_DemNominee.tab,2020,primary,DEM,Maine,ME,State Senate,11,ME_2020_P_Maine_11_State_Senate_DEM
Maine_20221108_CongressionalDistrict2.tab,2022,general,NA,Maine,ME,U.S. House,2,ME_2022_G_Maine_02_US_Representative
Maine_20241105_CD2.tab,2024,general,NA,Maine,ME,U.S. House,2,ME_2024_G_Maine_02_US_Representative
Minneapolis_20091106_Mayor.tab,2009,general,NA,Minneapolis,MN,Mayor,At_Large,MN_2009_G_Minneapolis_At_Large_Mayor
Minneapolis_20091106_ParksBoardD1.tab,2009,general,NA,Minneapolis,MN,Park Board,1,MN_2009_G_Minneapolis_01_ParkBoard
Minneapolis_20091106_ParksBoardD2.tab,2009,general,NA,Minneapolis,MN,Park Board,2,MN_2009_G_Minneapolis_02_ParkBoard
Minneapolis_20091106_ParksBoardD3.tab,2009,general,NA,Minneapolis,MN,Park Board,3,MN_2009_G_Minneapolis_03_ParkBoard
Minneapolis_20091106_ParksBoardD4.tab,2009,general,NA,Minneapolis,MN,Park Board,4,MN_2009_G_Minneapolis_04_ParkBoard
Minneapolis_20091106_ParksBoardD5.tab,2009,general,NA,Minneapolis,MN,Park Board,5,MN_2009_G_Minneapolis_05_ParkBoard
Minneapolis_20091106_ParksBoardD6.tab,2009,general,NA,Minneapolis,MN,Park Board,6,MN_2009_G_Minneapolis_06_ParkBoard
Minneapolis_20091106_Ward10CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,10,MN_2009_G_Minneapolis_10_Council
Minneapolis_20091106_Ward11CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,11,MN_2009_G_Minneapolis_11_Council
Minneapolis_20091106_Ward12CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,12,MN_2009_G_Minneapolis_12_Council
Minneapolis_20091106_Ward13CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,13,MN_2009_G_Minneapolis_13_Council
Minneapolis_20091106_Ward1CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,1,MN_2009_G_Minneapolis_01_Council
Minneapolis_20091106_Ward2CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,2,MN_2009_G_Minneapolis_02_Council
Minneapolis_20091106_Ward3CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,3,MN_2009_G_Minneapolis_03_Council
Minneapolis_20091106_Ward4CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,4,MN_2009_G_Minneapolis_04_Council
Minneapolis_20091106_Ward5CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,5,MN_2009_G_Minneapolis_05_Council
Minneapolis_20091106_Ward6CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,6,MN_2009_G_Minneapolis_06_Council
Minneapolis_20091106_Ward7CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,7,MN_2009_G_Minneapolis_07_Council
Minneapolis_20091106_Ward8CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,8,MN_2009_G_Minneapolis_08_Council
Minneapolis_20091106_Ward9CityCouncil.tab,2009,general,NA,Minneapolis,MN,City Council,9,MN_2009_G_Minneapolis_09_Council
Minneapolis_20131105_CityCouncilWard13.tab,2013,general,NA,Minneapolis,MN,City Council,13,MN_2013_G_Minneapolis_13_Council
Minneapolis_20131105_CityCouncilWard5.tab,2013,general,NA,Minneapolis,MN,City Council,5,MN_2013_G_Minneapolis_05_Council
Minneapolis_20131105_CityCouncilWard9.tab,2013,general,NA,Minneapolis,MN,City Council,9,MN_2013_G_Minneapolis_09_Council
Minneapolis_20131105_Mayor.tab,2013,general,NA,Minneapolis,MN,Mayor,At_Large,MN_2013_G_Minneapolis_At_Large_Mayor
Minneapolis_20131105_ParksBoardD2.tab,2013,general,NA,Minneapolis,MN,Park Board,2,MN_2013_G_Minneapolis_02_ParkBoard
Minneapolis_20131105_ParksBoardD6.tab,2013,general,NA,Minneapolis,MN,Park Board,6,MN_2013_G_Minneapolis_06_ParkBoard
Minneapolis_20171107_CityCouncilWard10.tab,2017,general,NA,Minneapolis,MN,City Council,10,MN_2017_G_Minneapolis_10_Council
Minneapolis_20171107_CityCouncilWard11.tab,2017,general,NA,Minneapolis,MN,City Council,11,MN_2017_G_Minneapolis_11_Council
Minneapolis_20171107_CityCouncilWard12.tab,2017,general,NA,Minneapolis,MN,City Council,12,MN_2017_G_Minneapolis_12_Council
Minneapolis_20171107_CityCouncilWard13.tab,2017,general,NA,Minneapolis,MN,City Council,13,MN_2017_G_Minneapolis_13_Council
Minneapolis_20171107_CityCouncilWard1.tab,2017,general,NA,Minneapolis,MN,City Council,1,MN_2017_G_Minneapolis_01_Council
